 Ubicación 	Unidad almacén      	Material          	Desc Material	Lote      	Ce. 	Alm.	UMB	       Stock total	HOJA
51070	                    	<< vacías >>      	#N/A	          	    	    	   	                  	
1594899991	1007889514	10306182514	C1841-3G-G - 1841 bundle w/HWIC-3G-GSM	N         	CH28	CM01	UN 	-1	1
1594899991	1009235974	10301186109	NT8B80AAAC - Fast Remote Access Device (	M         	CH28	CM04	UN 	0	1
1594899991	1009704072	10306110046	CISCO878-K9 - GSHDSL Security Router	M         	CH28	CM01	UN 	0	1
1594899991	1009704104	10306110010	CISCO1751-V - 10100 Modular Router wVoic	M         	CH28	CM01	UN 	0	1
1594899991	1009709849	10306110018	CISCO1841 - Modular Router w2xFE 2 WAN	M         	CH28	CM01	UN 	0	1
1594899991	1009709859	10306110027	CISCO2801-VK9 - 2801 Voice BundlePVDM2-	M         	CH28	CM01	UN 	0	1
1594899991	1009709860	10306120020	WS-C3560-24TS-S - Catalyst 3560 24 10100	M         	CH28	CM01	UN 	0	1
1594899991	1009709861	10306110120	CISCO2851-SRST/K9 - 2851 Voice Bundle w	M         	CH28	CM01	UN 	0	1
1594899991	1009711066	10306110127	CISCO877-SEC-K9 - Cisco877SecurityBundle	M         	CH28	CM01	UN 	0	1
1594899991	1009711067	10306110018	CISCO1841 - Modular Router w2xFE 2 WAN	M         	CH28	CM01	UN 	0	1
1594899991	1009711107	10306110010	CISCO1751-V - 10100 Modular Router wVoic	M         	CH28	CM01	UN 	0	1
1594899991	1009766444	10306110069	CISCO1750 - 10100 MODULAR ROUTER W1VIC	M         	CH28	CM01	UN 	0	1
1594899991	1009766444	10306180144	ATA186-I1-A - Cisco ATA 186 2-Port Adapt	M         	CH28	CM01	UN 	0	1
1594899991	1009766444	10306180145	ATA188-I1-A - Cisco ATA 188 2-Port Adapt	M         	CH28	CM01	UN 	0	1
1594899991	1009766827	10301184764	#N/A	M         	CH28	CM04	UN 	0	1
1594899991	1009766827	10301186093	NT7B69AAAB - Global Analogue trunk card	M         	CH28	CM04	UN 	0	1
1594899991	1009766827	10301186476	NT7B69AAAC - GATC2 ALAWULAW LSDS	M         	CH28	CM04	UN 	0	1
1594899991	1009766827	10301189418	NEWBRIDGE 2601	M         	CH28	CM04	UN 	0	1
1594899991	1009780361	10306182834	CISCO2901-V/K9   - Cisco 2901 Voice Bund	M         	CH28	CM01	UN 	0	1
1594899991	1009780423	10306110027	CISCO2801-VK9 - 2801 Voice BundlePVDM2-	M         	CH28	CM01	UN 	0	2
1594899991	1009780444	10306120130	WS-C2960-24PC-L - Catalyst 2960 24 10/10	M         	CH28	CM01	UN 	0	2
1594899991	1009780510	10306120001	WS-C2950-24 - 24 port 10100 Catalyst Sw	M         	CH28	CM01	UN 	0	2
1594899991	1009780637	10306180178	CP-7912G-A - Cisco IP Phone 7912G	M         	CH28	CM01	UN 	0	2
1594899991	1009780638	10306182699	CP-6921-C-K9 - Cisco Unified IP Phone 69	M         	CH28	CM01	UN 	0	2
1594899991	1009783961	10301189421	#N/A	M         	CH28	CM04	UN 	0	2
1594899991	1009784414	10301186097	"NT8B24AAAA - T7000 INT""L TELSET - PLATIN"	M         	CH28	CM04	UN 	0	2
1594899991	1009784422	10301187851	NTBU0997 - Compact ICS (220V) Global LS	M         	CH28	CM04	UN 	0	2
1594899991	1009784424	10301188104	MP124D/24FXS/3AC/SIP-3 - MediaPack 118 a	M         	CH28	CM01	UN 	0	2
1594899991	1009784426	10306180179	#N/A	M         	CH28	CM01	UN 	0	2
1594899991	1009784432	10301186476	NT7B69AAAC - GATC2 ALAWULAW LSDS	M         	CH28	CM04	UN 	0	2
1594899991	1009794757	10301189339	C881-V-K9 - Cisco881, FE WAN, 4 FXS, 2BR	M         	CH28	CM01	UN 	0	2
1594899991	1009805207	10306110008	CISCO1721 - 10100BaseT Modular Router w2	M         	CH28	CM01	UN 	0	2
1594899991	1009805211	10306110015	CISCO1803K9 - GSHDSL Router with Firewal	M         	CH28	CM01	UN 	0	2
1594899991	1009805213	10306110018	CISCO1841 - Modular Router w2xFE 2 WAN	M         	CH28	CM01	UN 	0	2
1594899991	1009806189	10306110026	CISCO2801 - 2801 wAC PWR2FE4slots(2HWI	M         	CH28	CM01	UN 	0	2
1594899991	1009806189	10306110028	CISCO2811 - 2811 w AC PWR2FE4HWICs2PV	M         	CH28	CM01	UN 	0	2
1594899991	1009806189	10306110045	CISCO877-K9 - ADSL Security Router	M         	CH28	CM01	UN 	0	2
1594899991	1009806189	10306110046	CISCO878-K9 - GSHDSL Security Router	M         	CH28	CM01	UN 	0	2
1594899991	1009806189	10306110170	CISCO1941/K9 - Cisco 1941 w/2 GE2 EHWIC	M         	CH28	CM01	UN 	0	2
1594899991	1009806189	10306181814	AIR-LAP1131AG-A-K9 - 80211ag LWAPP AP	M         	CH28	CM01	UN 	0	3
1594899991	1009806189	10306181908	CP-7911G - Cisco IP Phone 7911G	M         	CH28	CM01	UN 	0	3
1594899991	1009808235	10306110185	TARJETA INTERFACE CISCO HWIC-2SHDSL	M         	CH28	CM01	UN 	0	3
1594899991	1009808237	10306120165	WS-C2960-48PST-L - Catalyst 2960 48 10/1	M         	CH28	CM01	UN 	0	3
1594899991	1009808240	10306110207	ROUTER CISCO 2911-K9	M         	CH28	CM01	UN 	0	3
